1.0000E-03 -109.2124612805 -0.0091172358	0.0007809130 0.0067697978 -0.780913 -6.7698 0.00681469
0.0018397981	-109.2120641983 -0.0125016446 -0.0034942728 0.0029058064 1.89927 -1.57941 0.00454463
0.0018403562	-109.2120631379 -0.0125025254 -0.0034981615 0.0029016735 1.90076 -1.57665 0.00454498
0.0018409358	-109.2120620358 -0.0125034384 -0.0035021985 0.0028973804 1.90244 -1.57389 0.00454535
0.0018415447	-109.2120608769 -0.0125043958 -0.0035064381 0.0028928690 1.90412 -1.57093 0.00454575
0.0018421968	-109.2120596347 -0.0125054191 -0.0035109766 0.0028880363 1.90586 -1.56771 0.00454618
0.0018429202	-109.2120582552 -0.0125065520 -0.0035160091 0.0028826736 1.90787 -1.56421 0.00454666
0.0018437716	-109.2120566299 -0.0125078819 -0.0035219291 0.0028763599 1.91015 -1.56002 0.00454724
0.0018448846	-109.2120545022 -0.0125096153 -0.0035296631 0.0028681027 1.9132 -1.55461 0.00454803
0.0018466341	-109.2120511508 -0.0125123276 -0.0035418086 0.0028551155 1.91802 -1.54615 0.0045493
0.0018504832	-109.2120437483 -0.0125182428 -0.0035684804 0.0028265085 1.92839 -1.52743 0.00455227
0.0018681285	-109.2120093061 -0.0125444440 -0.0036898284 0.0026947875 1.97518 -1.44253 0.0045691
0.0019539486	-109.2118308288 -0.0126510063 -0.0042537379 0.0020424445 2.17705 -1.04532 0.00471867
0.0021405695	-109.2113946766 -0.0127722092 -0.0052690539 0.0005904216 2.46148 -0.275821 0.00530203
0.0024281640	-109.2106693627 -0.0127128375 -0.0061011506 -0.0015258948 2.51262 0.628406 0.00628907
0.0027469709	-109.2099101196 -0.0124089986 -0.0060718941 -0.0033125397 2.21037 1.20588 0.00691671
0.0028586107	-109.2096713489 -0.0122679614 -0.0059050570 -0.0037551206 2.06572 1.31362 0.0069979
0.0047500000	-109.2075365973 -0.0100545006 -0.0027161166 -0.0035381132 0.571814 0.744866 0.00446044
8.5000E-03 -109.2062361355 -0.0092533900	-0.0023029648 0.0008566106 0.270937 -0.100778 0.00245712
